"Date et heure locale";"Bordeaux (Garonne) (m)";"Bayon-sur-Gironde [Bec d'Ambès] (Dordogne) (m)";"Ambès [Le Marquis] (Garonne) (m)";"Bassens (Garonne) (m)"
"2025-12-08 01:00:00";2,27;1,98;1,95;2,12
"2025-12-08 02:00:00";1,56;1,37;1,3;1,43
"2025-12-08 03:00:00";1;0,84;0,78;0,88
"2025-12-08 04:00:00";0,54;0,47;0,36;0,43
"2025-12-08 05:00:00";0,17;1,98;1,44;0,2
"2025-12-08 06:00:00";2,38;3,3;3,03;2,58
"2025-12-08 07:00:00";3,96;4,4;4,37;4,08
"2025-12-08 08:00:00";5,02;5,28;5,24;5,11
"2025-12-08 09:00:00";5,64;5,55;5,5;5,59
"2025-12-08 10:00:00";5,51;5,02;5,03;5,33
"2025-12-08 11:00:00";4,53;4,03;4,05;4,36
"2025-12-08 12:00:00";3,44;3,05;3,05;3,28
"2025-12-08 13:00:00";2,52;2,22;2,19;2,36
"2025-12-08 14:00:00";1,77;1,56;1,5;1,63
"2025-12-08 15:00:00";1,17;1,01;0,96;1,05
"2025-12-08 16:00:00";0,69;0,55;0,49;0,58
"2025-12-08 17:00:00";0,25;0,46;0,15;0,16
"2025-12-08 18:00:00";0,24;2,23;1,76;0,95
"2025-12-08 19:00:00";2,74;3,43;3,26;2,88
"2025-12-08 20:00:00";4,03;4,38;4,36;4,14
"2025-12-08 21:00:00";4,86;5,06;5,02;4,91
"2025-12-08 22:00:00";5,34;5,09;5,07;5,26
"2025-12-08 23:00:00";4,91;4,43;4,45;4,76
"2025-12-09 00:00:00";3,93;3,45;3,46;3,76
"2025-12-09 01:00:00";2,91;2,57;2,56;2,75
"2025-12-09 02:00:00";2,09;1,83;1,79;1,93
"2025-12-09 03:00:00";1,4;1,24;1,18;1,27
"2025-12-09 04:00:00";0,86;0,75;0,68;0,75
"2025-12-09 05:00:00";0,42;0,57;0,32;0,34
"2025-12-09 06:00:00";0,27;2,23;1,76;0,99
"2025-12-09 07:00:00";2,65;3,44;3,22;2,8
"2025-12-09 08:00:00";4,03;4,44;4,4;4,15
"2025-12-09 09:00:00";4,94;5,12;5,09;5
"2025-12-09 10:00:00";5,42;5,3;5,29;5,36
"2025-12-09 11:00:00";5,18;4,71;4,73;5,02
"2025-12-09 12:00:00";4,23;3,8;3,79;4,08
"2025-12-09 13:00:00";3,22;2,91;2,9;3,09
"2025-12-09 14:00:00";2,37;2,12;2,08;2,22
"2025-12-09 15:00:00";1,64;1,48;1,42;1,52
"2025-12-09 16:00:00";1,07;0,96;0,88;0,96
"2025-12-09 17:00:00";0,59;0,53;0,44;0,5
"2025-12-09 18:00:00";0,21;1,3;0,7;0,16
"2025-12-09 19:00:00";1,47;2,61;2,28;1,74
"2025-12-09 20:00:00";3,1;3,65;3,54;3,25
"2025-12-09 21:00:00";4,19;4,47;4,44;4,25
"2025-12-09 22:00:00";4,83;4,86;4,81;4,8
"2025-12-09 23:00:00";5,02;4,76;4,75;4,92
"2025-12-10 00:00:00";4,49;4,1;4,11;4,36
"2025-12-10 01:00:00";3,6;3,22;3,23;3,46
"2025-12-10 02:00:00";2,69;2,43;2,4;2,55
"2025-12-10 03:00:00";1,93;1,71;1,68;1,8
"2025-12-10 04:00:00";1,29;1,17;1,1;1,18
"2025-12-10 05:00:00";0,79;0,72;0,63;0,7
"2025-12-10 06:00:00";0,38;1,05;0,43;0,31
"2025-12-10 07:00:00";1,12;2,42;2,06;1,44
"2025-12-10 08:00:00";2,9;3,54;3,38;3,03
"2025-12-10 09:00:00";4,08;4,39;4,37;4,18
"2025-12-10 10:00:00";4,79;4,92;4,84;4,79
"2025-12-10 11:00:00";5,16;4,93;4,91;5,06
"2025-12-10 12:00:00";4,76;4,39;4,38;4,63
"2025-12-10 13:00:00";3,92;3,55;3,55;3,79
"2025-12-10 14:00:00";2,99;2,73;2,71;2,87
"2025-12-10 15:00:00";2,19;1,97;1,94;2,06
"2025-12-10 16:00:00";1,52;1,36;1,3;1,4
"2025-12-10 17:00:00";0,97;0,86;0,8;0,86
"2025-12-10 18:00:00";0,52;0,49;0,38;0,43
"2025-12-10 19:00:00";0,16;1,49;0,94;0,14
"2025-12-10 20:00:00";1,67;2,61;2,3;1,9
"2025-12-10 21:00:00";3,05;3,5;3,4;3,16
"2025-12-10 22:00:00";3,94;4,15;4,11;3,99
"2025-12-10 23:00:00";4,47;4,49;4,42;4,41
"2025-12-11 00:00:00";4,59;4,29;4,28;4,47
"2025-12-11 01:00:00";4,03;3,7;3,69;3,9
"2025-12-11 02:00:00";3,22;2,94;2,92;3,11
"2025-12-11 03:00:00";2,42;2,22;2,18;2,31
"2025-12-11 04:00:00";1,73;1,55;1,52;1,62
"2025-12-11 05:00:00";1,14;1,02;0,95;1,03
"2025-12-11 06:00:00";0,66;0,61;0,51;0,57
"2025-12-11 07:00:00";0,28;1,32;0,71;0,23
"2025-12-11 08:00:00";1,41;2,5;2,17;1,67
"2025-12-11 09:00:00";2,91;3,48;3,35;3,06
"2025-12-11 10:00:00";3,97;4,22;4,19;4,03
"2025-12-11 11:00:00";4,53;4,64;4,57;4,52
"2025-12-11 12:00:00";4,78;4,56;4,53;4,68
"2025-12-11 13:00:00";4,35;4,03;4;4,22
"2025-12-11 14:00:00";3,57;3,34;3,31;3,48
"2025-12-11 15:00:00";2,78;2,6;2,57;2,69
"2025-12-11 16:00:00";2,06;1,88;1,84;1,95
"2025-12-11 17:00:00";1,42;1,28;1,22;1,32
"2025-12-11 18:00:00";0,88;0,83;0,74;0,8
"2025-12-11 19:00:00";0,46;0,64;0,41;0,4
"2025-12-11 20:00:00";0,29;1,79;1,37;0,64
"2025-12-11 21:00:00";1,98;2,72;2,48;2,12
"2025-12-11 22:00:00";3,12;3,54;3,41;3,2
"2025-12-11 23:00:00";3,9;4,1;4,05;3,95
"2025-12-12 00:00:00";4,38;4,37;4,28;4,34
"2025-12-12 01:00:00";4,46;4,24;4,19;4,34
"2025-12-12 02:00:00";4,02;3,73;3,72;3,91
"2025-12-12 03:00:00";3,23;2,98;2,97;3,12
"2025-12-12 04:00:00";2,45;2,23;2,21;2,34
"2025-12-12 05:00:00";1,76;1,57;1,53;1,65
"2025-12-12 06:00:00";1,17;1,06;0,98;1,07
"2025-12-12 07:00:00";0,7;0,73;0,6;0,63
"2025-12-12 08:00:00";0,39;1,51;1,05;0,41
"2025-12-12 09:00:00";1,66;2,57;2,26;1,87
"2025-12-12 10:00:00";2,95;3,44;3,28;3,04
"2025-12-12 11:00:00";3,85;4,09;4,02;3,89
"2025-12-12 12:00:00";4,4;4,42;4,34;4,33
"2025-12-12 13:00:00";4,63;4,42;4,39;4,53
"2025-12-12 14:00:00";4,3;4,03;4,01;4,2
"2025-12-12 15:00:00";3,55;3,32;3,28;3,42
"2025-12-12 16:00:00";2,76;2,59;2,56;2,67
"2025-12-12 17:00:00";2,08;1,92;1,87;1,98
"2025-12-12 18:00:00";1,48;1,35;1,28;1,38
"2025-12-12 19:00:00";0,98;0,92;0,82;0,89
"2025-12-12 20:00:00";0,58;0,83;0,58;0,52
"2025-12-12 21:00:00";0,57;1,76;1,39;0,78
"2025-12-12 22:00:00";1,96;2,65;2,42;2,1
"2025-12-12 23:00:00";3,01;3,39;3,26;3,08
"2025-12-13 00:00:00";3,75;3,96;3,89;3,77
"2025-12-13 01:00:00";4,31;4,24;4,2;4,27
"2025-12-13 02:00:00";4,37;4,13;4,08;4,26
"2025-12-13 03:00:00";3,88;3,65;3,6;3,77
"2025-12-13 04:00:00";3,14;2,92;2,9;3,04
"2025-12-13 05:00:00";2,42;2,21;2,18;2,3
"2025-12-13 06:00:00";1,78;1,6;1,55;1,67
"2025-12-13 07:00:00";1,23;1,1;1,02;1,12
"2025-12-13 08:00:00";0,77;0,79;0,65;0,69
"2025-12-13 09:00:00";0,49;1,46;1,06;0,49
"2025-12-13 10:00:00";1,59;2,39;2,13;1,77
"2025-12-13 11:00:00";2,72;3,21;3,04;2,81
"2025-12-13 12:00:00";3,61;3,87;3,77;3,66
"2025-12-13 13:00:00";4,2;4,21;4,12;4,13
"2025-12-13 14:00:00";4,44;4,24;4,21;4,31
"2025-12-13 15:00:00";4,12;3,94;3,89;4,04
"2025-12-13 16:00:00";3,49;3,27;3,25;3,39
"2025-12-13 17:00:00";2,73;2,55;2,51;2,61
"2025-12-13 18:00:00";2,06;1,89;1,85;1,96
"2025-12-13 19:00:00";1,48;1,33;1,28;1,38
"2025-12-13 20:00:00";0,99;0,92;0,83;0,9
"2025-12-13 21:00:00";0,62;0,78;0,58;0,55
"2025-12-13 22:00:00";0,5;1,66;1,32;0,76
"2025-12-13 23:00:00";1,84;2,54;2,3;2
"2025-12-14 00:00:00";2,86;3,26;3,13;2,93
"2025-12-14 01:00:00";3,61;3,86;3,78;3,65
"2025-12-14 02:00:00";4,19;4,13;4,07;4,11
"2025-12-14 03:00:00";4,31;4,12;4,07;4,23
"2025-12-14 04:00:00";3,91;3,64;3,62;3,82
"2025-12-14 05:00:00";3,17;2,93;2,92;3,05
"2025-12-14 06:00:00";2,44;2,24;2,2;2,33
"2025-12-14 07:00:00";1,81;1,61;1,58;1,7
"2025-12-14 08:00:00";1,26;1,13;1,06;1,16
"2025-12-14 09:00:00";0,82;0,81;0,69;0,74
"2025-12-14 10:00:00";0,51;1,31;0,88;0,5
"2025-12-14 11:00:00";1,41;2,33;2,05;1,64
"2025-12-14 12:00:00";2,63;3,15;2,97;2,74
"2025-12-14 13:00:00";3,52;3,82;3,72;3,58
"2025-12-14 14:00:00";4,13;4,23;4,16;4,12
"2025-12-14 15:00:00";4,47;4,26;4,26;4,39
"2025-12-14 16:00:00";4,15;3,89;3,86;4,03
"2025-12-14 17:00:00";3,47;3,24;3,22;3,37
"2025-12-14 18:00:00";2,73;2,55;2,52;2,63
"2025-12-14 19:00:00";2,08;1,89;1,86;1,98
"2025-12-14 20:00:00";1,51;1,34;1,3;1,4
"2025-12-14 21:00:00";1,03;0,91;0,84;0,93
"2025-12-14 22:00:00";0,64;0,69;0,54;0,57
"2025-12-14 23:00:00";0,43;1,61;1,23;0,55
"2025-12-15 00:00:00";1,79;2,52;2,26;1,94
"2025-12-15 01:00:00";2,86;3,33;3,18;2,96
"2025-12-15 02:00:00";3,7;3,97;3,88;3,76
"2025-12-15 03:00:00";4,32;4,32;4,24;4,28
"2025-12-15 04:00:00";4,44;4,19;4,16;4,33
"2025-12-15 05:00:00";3,96;3,64;3,62;3,84
"2025-12-15 06:00:00";3,18;2,91;2,91;3,06
"2025-12-15 07:00:00";2,43;2,18;2,16;2,32
"2025-12-15 08:00:00";1,78;1,57;1,54;1,68
"2025-12-15 09:00:00";1,24;1,1;1,04;1,14
"2025-12-15 10:00:00";0,81;0,79;0,67;0,73
"2025-12-15 11:00:00";0,52;1,34;0,94;0,52
"2025-12-15 12:00:00";1,46;2,31;2,03;1,67
"2025-12-15 13:00:00";2,6;3,18;3,01;2,73
"2025-12-15 14:00:00";3,57;3,95;3,84;3,65
"2025-12-15 15:00:00";4,28;4,42;4,35;4,28
"2025-12-15 16:00:00";4,66;4,51;4,48;4,57
"2025-12-15 17:00:00";4,4;4,15;4,11;4,27
"2025-12-15 18:00:00";3,76;3,43;3,42;3,64
"2025-12-15 19:00:00";2,91;2,69;2,66;2,8
"2025-12-15 20:00:00";2,21;2;1,97;2,1
"2025-12-15 21:00:00";1,61;1,44;1,38;1,5
"2025-12-15 22:00:00";1,1;1,01;0,93;1,02
"2025-12-15 23:00:00";0,71;0,88;0,65;0,64
"2025-12-16 00:00:00";0,62;1,9;1,55;0,91
"2025-12-16 01:00:00";2,09;2,85;2,61;2,24
"2025-12-16 02:00:00";3,19;3,71;3,58;3,3
"2025-12-16 03:00:00";4,1;4,39;4,33;4,17
"2025-12-16 04:00:00";4,7;4,7;4,63;4,66
"2025-12-16 05:00:00";4,74;4,43;4,4;4,6
"2025-12-16 06:00:00";4,12;3,75;3,76;3,98
"2025-12-16 07:00:00";3,27;2,95;2,95;3,13
"2025-12-16 08:00:00";2,48;2,23;2,21;2,36
"2025-12-16 09:00:00";1,82;1,6;1,57;1,71
"2025-12-16 10:00:00";1,26;1,13;1,06;1,17
"2025-12-16 11:00:00";0,82;0,89;0,72;0,75
"2025-12-16 12:00:00";0,59;1,56;1,19;0,64
