id;numCavite;indiceBSS;designationBSS;natureCavite;typeCavite;typeCaviteAppauvri;nomCavite;statut;confidentialite;raisonConfidentialite;organismeChxConfidentialite;reperageGeographique;positionnement;positionnementAppauvri;sourceCoordonnees;precisionXY;dateValidite;auteurDescription;dateMajCavite;lambertOuvrage;xOuvrage;yOuvrage;zOuvrage;xouvl2e;youvl2e;numInsee;commentaires;caviteAssociee;cUserSaisie;cDateSaisie;cUserModif;dateValidationSaisie;dateValidationDiffusion;userValidationSaisie;userValidationDiffusion;statutValidation;dangerosite;
"108896";"AQIAA0020001";;;"galeries filantes";"carrière";"carriere";"Clottet_La_Boye";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2500";"25";"2009-03-02";"M.BORDONNE";"2009-05-26";"5";"392725.000000";"1965670.000000";;"392725";"1965670";"33008";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"109522";"AQIAA0020002";;;"chambres et piliers";"carrière";"carriere";"La_Boye";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2500";"25";"2009-03-02";"M.BORDONNE";"2009-03-17";"5";"392600.000000";"1965732.000000";;"392600";"1965732";"33008";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"105488";"AQIAA0020003";;;"chambres et piliers";"carrière";"carriere";"Talusson_Ouest_02";"abandon";"public";;;"centre cavité";"approché";"approche";"GPS";"0";"2009-03-02";"M.BORDONNE";"2009-05-27";"5";"393912.000000";"1967354.000000";;"393912";"1967354";"33008";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"105967";"AQIAA0020004";;;"chambres et piliers";"carrière";"carriere";"Talusson_Ouest_01";"abandon";"public";;;"centre cavité";"approché";"approche";"GPS";"0";"3009-03-02";"M.BORDONNE";"2009-05-27";"5";"393878.000000";"1967321.000000";;"393878";"1967321";"33008";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"108325";"AQIAA0020005";;;"chambres et piliers";"carrière";"carriere";"Chateau_de_Benauge_01";"abandon";"public";;;"centre cavité";"précis";"precis";"plan au 1/500";"5";"2009-03-02";"M.BORDONNE";"2009-03-16";"5";"392553.000000";"1966399.000000";;"392553";"1966399";"33008";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"105541";"AQIAA0020006";;;"chambres et piliers";"carrière";"carriere";"Chateau_de_Benauge_02_RD";"abandon";"public";;;"centre cavité";"précis";"precis";"carte au 1/25000";"5";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"392642.000000";"1966409.000000";;"392642";"1966409";"33008";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"108692";"AQIAA0020007";;;"chambres et piliers";"carrière";"carriere";"La_Nougarède_02";"abandon";"public";;;"centre cavité";"approché";"approche";"carte au 1/25000";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"382894.000000";"1998647.000000";;"382894";"1998647";"33016";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"106245";"AQIAA0020009";;;"chambres et piliers";"carrière";"carriere";"La_Nougarède_01";"abandon";"public";;;"centre cavité";"approché";"approche";"carte au 1/25000";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"382976.000000";"1998619.000000";;"382976";"1998619";"33016";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"109038";"AQIAA0020010";;;"chambres et piliers";"carrière";"carriere";"Le_Bourg";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/200";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"382979.000000";"1998248.000000";;"382979";"1998248";"33016";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"106828";"AQIAA0020011";;;"chambres et piliers";"carrière";"carriere";"Le_Luc";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2500";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"400539.000000";"1973470.000000";;"400539";"1973470";"33025";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"109190";"AQIAA0020012";;;"chambres et piliers";"carrière";"carriere";"Sacremont_01";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2500";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"400890.000000";"1973282.000000";;"400890";"1973282";"33025";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"109326";"AQIAA0020013";;;"chambres et piliers";"carrière";"carriere";"Sacremont_02";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2500";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"400824.000000";"1973203.000000";;"400824";"1973203";"33025";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"109206";"AQIAA0020014";;;"chambres et piliers";"carrière";"carriere";"Sacremont_03";"abandon";"public";;;"centre cavité";"approché";"approche";"carte au 1/25000";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"400824.000000";"1973127.000000";;"400824";"1973127";"33025";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"108733";"AQIAA0020015";;;"chambres et piliers";"carrière";"carriere";"Sacremont_04";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2500";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"400802.000000";"1973069.000000";;"400802";"1973069";"33025";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"106184";"AQIAA0020016";;;"chambres et piliers";"carrière";"carriere";"La_Salace";"abandon";"public";;;"centre cavité";"approché";"approche";"carte au 1/10000";"50";"2009-03-02";"M.BORDONNE";"2010-01-07";"5";"388797.000000";"1958196.000000";;"388797";"1958196";"33030";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"108961";"AQIAA0020017";;;"chambres et piliers";"carrière";"carriere";"Saint_James";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2000";"25";"2009-03-02";"M.BORDONNE";"2009-03-12";"5";"374507.000000";"1994785.000000";;"374507";"1994785";"33032";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"105856";"AQIAA0020018";;;"galeries filantes";"carrière";"carriere";"Le_Roc_01";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2000";"25";"2009-03-02";"M.BORDONNE";"2009-03-17";"5";"397210.000000";"1939744.000000";;"397210";"1939744";"33036";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"106173";"AQIAA0020019";;;"galeries filantes";"carrière";"carriere";"Clottet_Le_Roc_02_Haoua";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2000";"25";"2009-03-02";"M.BORDONNE";"2009-03-17";"5";"397486.000000";"1939685.000000";;"397486";"1939685";"33036";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"106028";"AQIAA0020020";;;"galeries filantes";"carrière";"carriere";"Clottet_Le_Roc_03_Haoua";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2000";"25";"2009-03-02";"M.BORDONNE";"2009-03-17";"5";"397578.000000";"1939777.000000";;"397578";"1939777";"33036";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"2602";"AQIAA0020021";;;"chambres et piliers";"carrière";"carriere";"Le Roc_04";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2000";"25";"2009-03-02";"M.BORDONNE";"2009-03-19";"5";"397614.000000";"1939807.000000";;"397614";"1939807";"33036";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"105688";"AQIAA0020022";;;"chambres et galeries";"carrière";"carriere";"Boisson";"abandon";"public";;;"centre cavité";"approché";"approche";"plan au 1/2000";"25";"2009-03-03";"M.BORDONNE";"2009-03-17";"5";"388027.000000";"1964687.000000";;"388027";"1964687";"33040";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"106252";"AQIAA0020023";;;"chambres et piliers";"carrière";"carriere";"Palette";"abandon";"public";;;"centre cavité";"précis";"precis";"plan au 1/1000";"10";"2009-03-03";"M.BORDONNE";"2009-03-17";"5";"389275.000000";"1964156.000000";;"389275";"1964156";"33040";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"109323";"AQIAA0020024";;;"salle";"cave";"cave";"Les_Capots_01_La_Fabrique";"abandon";"public";;;"centre cavité";"précis";"precis";"plan au 1/1000";"10";"2009-03-03";"M.BORDONNE";"2009-03-17";"5";"389053.000000";"1963476.000000";;"389053";"1963476";"33040";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"108734";"AQIAA0020025";;;"galeries filantes";"carrière";"carriere";"Clottet_Les_Capots_02_Le_Parc";"abandon";"public";;;"centre cavité";"précis";"precis";"plan au 1/1000";"10";"2009-03-03";"M.BORDONNE";"2009-03-17";"5";"389002.000000";"1963447.000000";;"389002";"1963447";"33040";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"105757";"AQIAA0020026";;;"chambres et galeries";"carrière";"carriere";"Clottet_Le_Bourg_01";"abandon";"public";;;"centre cavité";"précis";"precis";"GPS";"0";"2009-03-03";"M.BORDONNE";"2009-03-17";"5";"401323.000000";"1977345.000000";;"401323";"1977345";"33044";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"106228";"AQIAA0020027";;;"chambres et galeries";"carrière";"carriere";"Clottet_Le_Bourg_02";"abandon";"public";;;"centre cavité";"précis";"precis";"GPS";"0";"2009-03-03";"M.BORDONNE";"2009-03-17";"5";"401346.000000";"1977304.000000";;"401346";"1977304";"33044";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"120036";"AQIAA0020028";;;"galeries filantes";"carrière";"carriere";"Mirambeau_01";"abandon";"public";;;"centre cavité";"précis";"precis";"plan au 1/500";"10";"2009-03-03";"M.BORDONNE";"2009-10-07";"5";"400794.000000";"1977163.000000";;"400794";"1977163";"33044";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"108682";"AQIAA0020029";;;"galeries filantes";"carrière";"carriere";"Clottet_Mirambeau_02";"abandon";"public";;;"centre cavité";"précis";"precis";"GPS";"0";"2009-03-03";"M.BORDONNE";"2009-03-17";"5";"400804.000000";"1977106.000000";;"400804";"1977106";"33044";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
"109046";"AQIAA0020030";;;"galeries filantes";"carrière";"carriere";"Clottet_La_Goilane_03";"abandon";"public";;;"centre cavité";"précis";"precis";"GPS";"0";"2009-03-03";"M.BORDONNE";"2009-03-17";"5";"400228.000000";"1976665.000000";;"400228";"1976665";"33044";;;"gironde@brgm.fr";"2009-12-09";"gironde@brgm.fr";"2009-01-01";"2011-08-22";"S.BesdeBerc@brgm.fr";"sbdbAdministrateur@brgm.fr";"2";;
