CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
33001;827.0;1965.0;19190.0;;;;;;;;;;;;;;;;;;;;;;;;
33002;336.0;833.0;18550.0;;;;;;;;;;;;;;;;;;;;;;;;
33003;6557.0;16858.0;19790.0;46.0;15.0;22.0;18.0;16.0;13.0;8.0;;8.0;25.0;75.9;68.3;4.2;3.4;23.3;6.8;8.2;3.3;3.0;1.9;-14.2;11250.0;31220.0;2.8
33004;1328.0;3211.0;18960.0;38.0;15.0;;;;;;;;25.0;73.2;66.7;4.3;2.2;25.9;3.6;9.4;3.5;3.5;2.4;-12.1;11290.0;29050.0;2.6
33005;6226.0;12889.0;24840.0;62.0;8.0;;;12.0;8.0;;;5.0;16.0;55.1;45.6;2.9;6.6;47.9;13.9;2.3;0.8;1.0;0.5;-19.2;13730.0;44300.0;3.2
33006;391.0;940.0;18360.0;;;;;;;;;;;;;;;;;;;;;;;;
33007;477.0;1279.0;22220.0;;;;;;;;;;;;;;;;;;;;;;;;
33008;190.0;499.0;19430.0;;;;;;;;;;;;;;;;;;;;;;;;
33009;6849.0;11683.0;24750.0;60.0;12.0;;;21.0;17.0;8.0;6.0;6.0;21.0;41.7;31.2;2.5;8.0;56.1;22.6;2.5;0.5;1.3;0.7;-22.9;12100.0;51600.0;4.3
33010;201.0;494.0;21890.0;;;;;;;;;;;;;;;;;;;;;;;;
33011;3302.0;6660.0;23170.0;58.0;9.0;;;;;;;6.0;17.0;56.2;48.1;3.3;4.8;46.5;11.2;2.8;1.0;1.1;0.7;-16.7;12900.0;38890.0;3.0
33012;1355.0;3654.0;25550.0;66.0;;;;;;;;;;79.2;71.4;2.7;5.1;28.0;6.9;2.8;1.8;0.7;0.3;-16.9;15720.0;39520.0;2.5
33013;3592.0;8715.0;22350.0;59.0;10.0;;14.0;11.0;;;;;19.0;75.6;67.9;3.4;4.3;28.7;7.2;5.0;2.0;1.7;1.3;-16.5;12570.0;36550.0;2.9
33014;434.0;1070.0;20090.0;;;;;;;;;;;;;;;;;;;;;;;;
33015;794.0;1995.0;23480.0;;;;;;;;;;;;;;;;;;;;;;;;
33016;187.0;457.0;22420.0;;;;;;;;;;;;;;;;;;;;;;;;
33017;117.0;291.0;21480.0;;;;;;;;;;;;;;;;;;;;;;;;
33018;1358.0;3493.0;20880.0;44.0;10.0;;;;;;;;;76.6;67.8;3.7;5.1;24.3;7.4;5.0;2.6;1.4;1.0;-13.3;12580.0;32300.0;2.6
33019;3736.0;8431.0;21940.0;54.0;9.0;;;12.0;;;;5.0;16.0;71.0;63.9;3.8;3.3;33.1;6.8;4.1;1.8;1.4;0.9;-15.0;13070.0;34690.0;2.7
33020;55.0;127.0;16150.0;;;;;;;;;;;;;;;;;;;;;;;;
33021;435.0;1041.0;19130.0;;;;;;;;;;;;;;;;;;;;;;;;
33022;1123.0;3073.0;22020.0;53.0;7.0;;;;;;;;;81.6;74.1;3.2;4.3;23.5;5.4;4.1;2.6;0.9;0.6;-14.6;14040.0;32360.0;2.3
33023;502.0;1339.0;23730.0;;;;;;;;;;;;;;;;;;;;;;;;
33024;114.0;290.0;19490.0;;;;;;;;;;;;;;;;;;;;;;;;
33025;167.0;429.0;20500.0;;;;;;;;;;;;;;;;;;;;;;;;
33026;201.0;507.0;20970.0;;;;;;;;;;;;;;;;;;;;;;;;
33027;125.0;291.0;19150.0;;;;;;;;;;;;;;;;;;;;;;;;
33028;410.0;1144.0;22420.0;;;;;;;;;;;;;;;;;;;;;;;;
33029;2147.0;5685.0;22840.0;55.0;6.0;;;;;;;;;85.5;78.2;3.4;3.9;20.1;5.4;4.2;2.5;1.0;0.7;-15.2;14320.0;34920.0;2.4
33030;913.0;2128.0;20490.0;47.0;12.0;;;;;;;;;71.9;61.2;3.5;7.2;27.3;9.8;5.6;2.3;2.2;1.1;-14.6;11960.0;33200.0;2.8
33031;46.0;120.0;19450.0;;;;;;;;;;;;;;;;;;;;;;;;
33032;3157.0;7413.0;19310.0;46.0;17.0;;20.0;21.0;19.0;;;7.0;27.0;72.8;66.4;4.1;2.3;27.5;4.9;8.2;3.1;2.8;2.3;-13.4;10920.0;30360.0;2.8
33033;329.0;849.0;24170.0;;;;;;;;;;;;;;;;;;;;;;;;
33034;186.0;433.0;19710.0;;;;;;;;;;;;;;;;;;;;;;;;
33035;322.0;688.0;19960.0;;;;;;;;;;;;;;;;;;;;;;;;
33036;2243.0;4665.0;19560.0;44.0;16.0;;;23.0;;;;8.0;27.0;59.7;51.0;3.3;5.4;39.1;8.1;6.9;1.8;3.2;1.9;-13.8;11150.0;33060.0;3.0
33037;904.0;2331.0;23090.0;56.0;;;;;;;;;;78.6;70.6;2.6;5.4;25.8;7.2;3.8;2.0;1.2;0.6;-15.4;13940.0;34850.0;2.5
33038;401.0;911.0;19140.0;;;;;;;;;;;;;;;;;;;;;;;;
33039;13195.0;28070.0;21050.0;53.0;13.0;22.0;14.0;14.0;13.0;8.0;9.0;5.0;22.0;80.1;71.5;3.9;4.7;23.3;6.5;6.2;1.9;2.5;1.8;-16.1;11620.0;35270.0;3.0
33040;513.0;1185.0;20200.0;;;;;;;;;;;;;;;;;;;;;;;;
33042;2280.0;5774.0;21090.0;46.0;10.0;;;11.0;;;;;23.0;80.3;71.6;4.2;4.5;22.2;6.2;5.5;2.8;1.5;1.2;-14.2;12580.0;33270.0;2.6
33043;99.0;273.0;20500.0;;;;;;;;;;;;;;;;;;;;;;;;
33044;107.0;252.0;18850.0;;;;;;;;;;;;;;;;;;;;;;;;
33045;125.0;319.0;19880.0;;;;;;;;;;;;;;;;;;;;;;;;
33046;510.0;1181.0;20110.0;;;;;;;;;;;;;;;;;;;;;;;;
33047;732.0;1804.0;20660.0;;;;;;;;;;;;;;;;;;;;;;;;
33048;98.0;264.0;19770.0;;;;;;;;;;;;;;;;;;;;;;;;
33049;875.0;2298.0;23150.0;59.0;;;;;;;;;;76.8;67.2;3.4;6.2;27.6;7.9;3.6;2.0;1.0;0.6;-15.9;14780.0;36010.0;2.4
33050;213.0;595.0;20510.0;;;;;;;;;;;;;;;;;;;;;;;;
33051;4516.0;11022.0;21850.0;54.0;8.0;;;9.0;;;;5.0;15.0;74.2;67.0;3.4;3.8;30.4;5.6;4.3;2.1;1.4;0.8;-14.5;13440.0;33550.0;2.5
33052;504.0;1144.0;22140.0;;;;;;;;;;;;;;;;;;;;;;;;
33053;99.0;231.0;20290.0;;;;;;;;;;;;;;;;;;;;;;;;
33054;125.0;290.0;20320.0;;;;;;;;;;;;;;;;;;;;;;;;
33055;191.0;454.0;20410.0;;;;;;;;;;;;;;;;;;;;;;;;
33056;6771.0;15718.0;22880.0;59.0;10.0;;13.0;12.0;8.0;;;5.0;20.0;75.6;68.3;3.2;4.1;28.9;7.7;4.7;1.8;1.8;1.1;-16.9;12910.0;38320.0;3.0
33057;384.0;907.0;19240.0;;;;;;;;;;;;;;;;;;;;;;;;
33058;2226.0;4468.0;18150.0;40.0;22.0;;29.0;21.0;;;;;32.0;69.3;61.4;3.9;4.0;29.4;5.7;10.2;2.2;5.0;3.0;-14.6;10000.0;35090.0;3.5
33059;109.0;313.0;22660.0;;;;;;;;;;;;;;;;;;;;;;;;
33060;203.0;472.0;21400.0;;;;;;;;;;;;;;;;;;;;;;;;
33061;373.0;989.0;24800.0;;;;;;;;;;;;;;;;;;;;;;;;
33062;288.0;752.0;23350.0;;;;;;;;;;;;;;;;;;;;;;;;
33063;117025.0;227135.0;22170.0;55.0;17.0;29.0;16.0;17.0;16.0;12.0;9.0;5.0;25.0;81.6;68.3;4.0;9.3;22.1;11.6;5.8;1.4;2.5;1.9;-21.1;10450.0;45980.0;4.4
33064;;;;;;;;;;;;;;;;;;;;;;;;;;;
33065;1426.0;3684.0;28020.0;71.0;;;;;;;;;;79.5;68.2;2.6;8.7;24.9;15.8;2.1;1.2;0.6;0.3;-22.3;16150.0;54280.0;3.4
33066;49.0;101.0;14800.0;;;;;;;;;;;;;;;;;;;;;;;;
33067;1006.0;2229.0;18650.0;40.0;22.0;;;;;;;;36.0;69.3;59.6;4.2;5.5;27.6;9.6;7.7;2.6;3.0;2.1;-14.2;10340.0;32610.0;3.2
33068;;;;;;;;;;;;;;;;;;;;;;;;;;;
33069;11594.0;24583.0;24730.0;62.0;10.0;17.0;10.0;11.0;10.0;8.0;;5.0;18.0;78.6;66.6;2.9;9.1;26.6;13.5;3.4;1.2;1.3;0.9;-22.1;12810.0;49100.0;3.8
33070;256.0;723.0;23310.0;;;;;;;;;;;;;;;;;;;;;;;;
33071;524.0;1219.0;20100.0;;;;;;;;;;;;;;;;;;;;;;;;
33072;89.0;250.0;16790.0;;;;;;;;;;;;;;;;;;;;;;;;
33073;652.0;1482.0;18060.0;;;;;;;;;;;;;;;;;;;;;;;;
33074;75.0;187.0;20460.0;;;;;;;;;;;;;;;;;;;;;;;;
33075;8563.0;18618.0;23060.0;62.0;9.0;12.0;8.0;9.0;9.0;;;5.0;14.0;87.3;77.7;3.5;6.1;20.0;8.0;4.0;1.6;1.4;1.0;-19.3;13260.0;39530.0;3.0
33076;331.0;796.0;20200.0;;;;;;;;;;;;;;;;;;;;;;;;
33077;867.0;2390.0;22300.0;52.0;;;;;;;;;;88.0;79.5;3.8;4.7;16.6;5.5;4.1;2.6;0.9;0.6;-14.2;14810.0;33930.0;2.3
33078;199.0;501.0;22380.0;;;;;;;;;;;;;;;;;;;;;;;;
33079;133.0;365.0;24690.0;;;;;;;;;;;;;;;;;;;;;;;;
33080;2558.0;6156.0;22320.0;58.0;7.0;;;;;;;;13.0;80.2;72.3;3.1;4.8;23.7;8.1;4.0;2.0;1.2;0.8;-16.0;13710.0;35210.0;2.6
33081;1185.0;2463.0;17750.0;35.0;21.0;;;;;;;;28.0;65.8;57.8;4.6;3.4;28.6;6.6;11.4;3.0;5.1;3.3;-12.4;10280.0;29310.0;2.9
33082;507.0;1311.0;22550.0;;;;;;;;;;;;;;;;;;;;;;;;
33083;399.0;1006.0;24860.0;;;;;;;;;;;;;;;;;;;;;;;;
33084;621.0;1539.0;23480.0;;;;;;;;;;;;;;;;;;;;;;;;
33085;1129.0;2879.0;25710.0;64.0;;;;;;;;;;79.2;69.4;3.0;6.8;26.2;11.8;2.4;1.3;0.7;0.4;-19.6;14820.0;45240.0;3.1
33086;134.0;366.0;22570.0;;;;;;;;;;;;;;;;;;;;;;;;
33087;187.0;397.0;19870.0;;;;;;;;;;;;;;;;;;;;;;;;
33088;247.0;624.0;18030.0;;;;;;;;;;;;;;;;;;;;;;;;
33089;203.0;471.0;20170.0;;;;;;;;;;;;;;;;;;;;;;;;
33090;2523.0;5824.0;24210.0;62.0;6.0;;;;;;;;14.0;77.3;70.9;2.6;3.8;28.3;7.1;3.6;1.5;1.2;0.9;-16.3;14570.0;38590.0;2.6
33093;285.0;742.0;22100.0;;;;;;;;;;;;;;;;;;;;;;;;
33094;94.0;225.0;20180.0;;;;;;;;;;;;;;;;;;;;;;;;
33095;623.0;1240.0;18880.0;;;;;;;;;;;;;;;;;;;;;;;;
33096;3350.0;7917.0;21280.0;53.0;12.0;;17.0;15.0;;;;5.0;24.0;70.5;64.1;3.5;2.9;32.2;6.7;5.8;2.3;2.0;1.5;-15.2;12020.0;34230.0;2.8
33097;1235.0;2715.0;21300.0;51.0;12.0;;;;;;;;;64.0;53.4;3.7;6.9;36.6;10.8;3.8;1.8;1.2;0.8;-15.2;11970.0;35580.0;3.0
33098;197.0;484.0;20830.0;;;;;;;;;;;;;;;;;;;;;;;;
33099;1529.0;3952.0;26220.0;66.0;6.0;;;;;;;;;77.2;66.8;2.6;7.8;27.6;12.4;2.7;1.4;0.8;0.5;-19.9;14670.0;44710.0;3.0
33100;526.0;1210.0;20580.0;;;;;;;;;;;;;;;;;;;;;;;;
33101;505.0;1255.0;19360.0;;;;;;;;;;;;;;;;;;;;;;;;
33102;175.0;377.0;17870.0;;;;;;;;;;;;;;;;;;;;;;;;
33103;;;;;;;;;;;;;;;;;;;;;;;;;;;
33104;1956.0;4731.0;21310.0;49.0;9.0;;;;;;;;22.0;76.9;69.6;4.2;3.1;25.5;6.5;5.2;2.4;1.7;1.1;-14.1;12930.0;32430.0;2.5
33105;80.0;193.0;19250.0;;;;;;;;;;;;;;;;;;;;;;;;
33106;625.0;1503.0;19800.0;;;;;;;;;;;;;;;;;;;;;;;;
33108;1500.0;3062.0;14760.0;26.0;37.0;;55.0;48.0;36.0;;;;49.0;51.4;39.9;5.3;6.2;36.2;7.6;15.7;3.8;7.2;4.7;-10.9;8620.0;26840.0;3.1
33109;911.0;2367.0;22890.0;57.0;;;;;;;;;;83.7;76.5;3.3;3.9;22.3;5.7;3.8;2.2;1.0;0.6;-15.5;13830.0;34300.0;2.5
33111;472.0;1101.0;19430.0;;;;;;;;;;;;;;;;;;;;;;;;
33112;67.0;160.0;19210.0;;;;;;;;;;;;;;;;;;;;;;;;
33113;61.0;152.0;18450.0;;;;;;;;;;;;;;;;;;;;;;;;
